old;current
;5053
1624;5054
1718;5054
;5054
;5055
;5056
1621;5057
1627;5057
5015;5057
5017;5057
;5057
1630;5058
1632;5058
5018;5058
5019;5058
;5058
;5059
1750;5060
1751;5060
5050;5060
5051;5060
;5060
1567;5061
;5061
1612;5099
1613;5099
1571;5099
5011;5099
5012;5099
1617;5099
5013;5099
1622;5099
1636;5099
1638;5099
5016;5099
5023;5099
5024;5099
1699;5099
1799;5099
1902;5501
5401;5501
1901;5503
1915;5503
1903;5503
5402;5503
1911;5510
5411;5510
1852;5512
1913;5512
5412;5512
1917;5514
5413;5514
1919;5516
5414;5516
1920;5518
5415;5518
1922;5520
5416;5520
1923;5522
5417;5522
1924;5524
5418;5524
1925;5526
5419;5526
1926;5528
5420;5528
1927;5530
1928;5530
1929;5530
1931;5530
5421;5530
1933;5532
5422;5532
1936;5534
5423;5534
1938;5536
5424;5536
1939;5538
5425;5538
1940;5540
5426;5540
1941;5542
5427;5542
1942;5544
5428;5544
1943;5546
5429;5546
1999;5599
2012;5601
5403;5601
2001;5603
2016;5603
2004;5603
2017;5603
5406;5603
2030;5605
5444;5605
2003;5607
5405;5607
2021;5610
5437;5610
2011;5612
5430;5612
2014;5614
5432;5614
2015;5616
5433;5616
2018;5618
5434;5618
2019;5620
5435;5620
2020;5622
5436;5622
2022;5624
5438;5624
2023;5626
5439;5626
2025;5628
5441;5628
2024;5630
5440;5630
2028;5632
5443;5632
2002;5634
5404;5634
2027;5636
5442;5636
2099;5699
;9999
3099;9999
3899;9999
5499;9999
9999;9999
;3
;11
;15
;18
1;31
30;99
2;32
6;33
4;34
5;34
;34
7;39
38;99
8;40
9;42
10;42
;42
12;46
14;46
;46
16;50
17;50
;50
19;55
54;99
20;56
;99
